COUNTYPAIR_ID,STATE_FIPS1,GEOID10_FIPS1,STATE_FIPS2,GEOID10_FIPS2,distance_FIPS1,distance_FIPS2
20099-40035,20,20099,40,40035,0.25870155808113504,0.32391377962210943
20099-40105,20,20099,40,40105,0.29776206458079857,0.25047019406773147
20107-29217,20,20107,29,29217,0.25810702442293226,0.3398813829735081
20119-40007,20,20119,40,40007,0.29082499675659307,0.1819401168703578
20121-29013,20,20121,29,29013,0.2502669478900814,0.2749844661897709
20125-40105,20,20125,40,40105,0.14071760965046204,0.2239840727270541
20125-40147,20,20125,40,40147,0.16778097037008333,0.2700243967669434
20129-40025,20,20129,40,40025,0.19747172669957277,0.5157618229447595
20129-40139,20,20129,40,40139,0.0531688092201733,0.30091002471022693
20175-40007,20,20175,40,40007,0.0536413427512571,0.18264677326498704
20175-40139,20,20175,40,40139,0.06128051622287558,0.4770479723447828
20187-08009,20,20187,08,08009,0.2855622747682384,0.4859125635762947
20189-40139,20,20189,40,40139,0.19362891734319315,0.28232744758317846
20191-40053,20,20191,40,40053,0.3103855641453006,0.23615471603484217
20191-40071,20,20191,40,40071,0.3053128809709863,0.25455161013990885
20199-08017,20,20199,08,08017,0.28032625998556343,0.4122863165289981
21003-47111,21,21003,47,47111,0.10775724195976744,0.09456605374663574
21003-47165,21,21003,47,47165,0.10740819114896644,0.2818404761792926
21007-29133,21,21007,29,29133,0.14449778911996794,0.2640040754680581
21013-47025,21,21013,47,47025,0.09092883890372382,0.10336684468109528
21013-51105,21,21013,51,51105,0.08410773817736347,0.3615652076801419
21015-18115,21,21015,18,18115,0.15101653055763292,0.04738789662028382
21015-18155,21,21015,18,18155,0.14960567679537917,0.17290893899595378
21019-54099,21,21019,54,54099,0.07183774031863027,0.08321586959964634
21035-47079,21,21035,47,47079,0.11977447273168881,0.18121658577814687
21035-47161,21,21035,47,47161,0.24083154536890447,0.23796027922690052
21047-47125,21,21047,47,47125,0.17057603167265317,0.08984913322167065
21047-47161,21,21047,47,47161,0.23755030923160833,0.17742271991271974
21053-47027,21,21053,47,47027,0.16582839092795593,0.2744993012743517
21053-47137,21,21053,47,47137,0.09016263879517307,0.057898325303968864
21057-47027,21,21057,47,47027,0.15819482624017991,0.14031702145433925
21075-47095,21,21075,47,47095,0.312967239325448,0.14119273990995845
21075-47131,21,21075,47,47131,0.03519401535183443,0.10720962762388005
21083-47079,21,21083,47,47079,0.27452754457327566,0.2669969543276244
21083-47183,21,21083,47,47183,0.23897590036015717,0.20999662400725322
21095-51105,21,21095,51,51105,0.12832748104544556,0.04176486030204169
21105-47183,21,21105,47,47183,0.2110193216903671,0.21433650823879172
21133-51195,21,21133,51,51195,0.08622206961501906,0.14583420859230367
21139-17127,21,21139,17,17127,0.1548951230024155,0.17910434679978177
21141-47147,21,21141,47,47147,0.21258193381756627,0.16244624963350648
21147-47151,21,21147,47,47151,0.11958251911268128,0.14257030060487952
21171-47027,21,21171,47,47027,0.08786204100806458,0.06201541633197761
21171-47111,21,21171,47,47111,0.104414124219582,0.10356364189453028
21195-51027,21,21195,51,51027,0.19819759378225096,0.1719700636616761
21195-51051,21,21195,51,51051,0.19817577112154813,0.11494123150096862
21195-51195,21,21195,51,51195,0.29274857514033775,0.247111561268018
21213-47147,21,21213,47,47147,0.08277842832732196,0.17794243006438676
21213-47165,21,21213,47,47165,0.09125881009181006,0.23661400942609304
21219-47125,21,21219,47,47125,0.16971110415238072,0.09154415536234067
21219-47147,21,21219,47,47147,0.17855023643829915,0.2778667437235808
21221-47161,21,21221,47,47161,0.18383808727539885,0.1410859651960151
21223-18019,21,21223,18,18019,0.0995330546867803,0.33564738026201707
21225-17069,21,21225,17,17069,0.1911532281882812,0.18413261756935298
21231-47137,21,21231,47,47137,0.2317393604426653,0.17396455083695436
21235-47013,21,21235,47,47013,0.2182447946450876,0.20822704758101757
21235-47025,21,21235,47,47025,0.2683768616821336,0.304561116169699
22017-48203,22,22017,48,48203,0.24201115388650496,0.36972826071791026
22017-48315,22,22017,48,48315,0.32790550023793696,0.3807265362363996
22017-48365,22,22017,48,48365,0.2548491884580574,0.28994644938787345
22019-48361,22,22019,48,48361,0.4353196777487373,0.14130046732271212
22029-28001,22,22029,28,28001,0.03501836081591822,0.05963341631423937
22029-28157,22,22029,28,28157,0.4039912222725111,0.32842450346283575
22031-48419,22,22031,48,48419,0.2422085096220107,0.22619255423553725
22035-28149,22,22035,28,28149,0.24300061280885024,0.31941463574293993
22085-48351,22,22085,48,48351,0.3967306854608925,0.504999539039923
22085-48403,22,22085,48,48403,0.160314001720483,0.1621420022111696
22103-28045,22,22103,28,28045,0.2654412070170613,0.22429800753046458
22107-28001,22,22107,28,28001,0.21600472814579402,0.18772749069877648
22107-28021,22,22107,28,28021,0.1061175066331743,0.14619369818745334
22107-28063,22,22107,28,28063,0.10435792710258322,0.20899809119186694
22115-48351,22,22115,48,48351,0.2697561796084294,0.26046094087686533
22117-22103,22,22117,22,22103,0.1675587213257817,0.28190857868983277
23017-33003,23,23017,33,33003,0.39653728700509694,0.17676979843511195
23017-33007,23,23017,33,33007,0.3969174121335181,0.3364244105668549
23031-33017,23,23031,33,33017,0.25697635278730124,0.06570998495312687
24001-54027,24,24001,54,54027,0.1900544980947448,0.19707344488773398
24001-54057,24,24001,54,54057,0.020633915493886216,0.022249763150700864
24001-54065,24,24001,54,54065,0.3668814635958137,0.12356714299827902
24011-10005,24,24011,10,10005,0.11742797254543236,0.3617741548594697
24021-51107,24,24021,51,51107,0.2041660122768061,0.18004108496642646
24023-54023,24,24023,54,54023,0.18673419382836284,0.2702558610153216
24023-54057,24,24023,54,54057,0.16181037188333128,0.15830619272480373
24023-54077,24,24023,54,54077,0.17694051421899562,0.19324062934703937
24029-10001,24,24029,10,10001,0.30154726454114805,0.23247167381009393
